/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/cloudfront_distribution_configuration_structure_test.go:38:20: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/cloudfront_distribution_configuration_structure_test.go:43:20: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/cloudfront_distribution_configuration_structure_test.go:260:37: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/cloudfront_distribution_configuration_structure_test.go:994:30: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/cloudfront_distribution_configuration_structure_test.go:995:12: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_acmpca_certificate_authority_test.go:76:74: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_arn_test.go:44:39: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_batch_compute_environment_test.go:64:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_batch_job_queue_test.go:66:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_cur_report_definition_test.go:99:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_cur_report_definition_test.go:167:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_elasticsearch_domain_test.go:78:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_iam_policy_document_test.go:218:41: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_iam_policy_document_test.go:303:47: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_iam_policy_document_test.go:368:47: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_iam_policy_document_test.go:466:53: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_iam_policy_document_test.go:596:49: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_iam_policy_document_test.go:834:90: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_iam_policy_document_test.go:861:87: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_iam_policy_document_test.go:872:84: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_iam_policy_document_test.go:892:90: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_iam_policy_document_test.go:911:88: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_iam_policy_document_test.go:943:94: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_lambda_invocation_test.go:92:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/data_source_aws_secretsmanager_secret_test.go:150:74: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/provider_test.go:1372:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/provider_test.go:1393:9: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/provider_test.go:1412:9: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/provider_test.go:1429:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/provider_test.go:1450:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/provider_test.go:1471:9: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/provider_test.go:1488:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/provider_test.go:1509:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/provider_test.go:1530:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_acmpca_certificate_authority_test.go:541:40: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_alb_target_group_test.go:24:23: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_alb_target_group_test.go:29:23: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudformation_stack_test.go:741:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudformation_stack_test.go:791:21: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
/home/travis/gopath/src/github.com/terraform-providers/terraform-provider-aws/aws/resource_aws_cloudfront_origin_access_identity_test.go:32:81: AWSAT005: avoid hardcoded ARN AWS partitions, use aws_partition data source
